í≤ç∏îÕàÕ,óßñÿî‘çÜ,ãπçÇíºåa[cm],2cmäáñÒãπçÇíºåa[cm],é˜çÇ[m],ñÓçÇ[cm],çﬁêœ[m3],2cmäáñÒçﬁêœ[m3],ÉoÉCÉIÉ}ÉX[kg],ÉoÉCÉIÉ}ÉXÅi2cmäáñÒÅj[kg],é˜éÌ,ÉXÉeÅ[É^ÉX,ä‘î∞,Éå,ã´äEñÿ,èúäO,ÉtÉBÉãÉ^,ÉRÉÅÉìÉg,ä≤é¸[cm],X,Y,Z,ID,åoìxÅiê¢äEë™ínånÅj,à‹ìxÅiê¢äEë™ínånÅj,ïΩX[m]Åiê¢äEë™ínånÅj,ïΩY[m]Åiê¢äEë™ínånÅj,åoìxÅiì˙ñ{ë™ínånÅj,à‹ìxÅiì˙ñ{ë™ínånÅj,ïΩX[m]Åiì˙ñ{ë™ínånÅj,ïΩY[m]Åiì˙ñ{ë™ínånÅj,é˜ä•îºåa[m],ä‘î∞óvî€
,-1,42.3,42,18.5,0.4,1.1096,1.0933,535.7,527.83,ÉXÉM,ê∂óßñÿ,,,,,,,132.8,6.75,-1.43,2.86,83,139.1354601,35.72901084,-29840.476,-63131.578,139.6257376,35.2563316,-30195.515,-62840.794,5.6,-
,-1,16.1,16,12,1.2,0.1261,0.1246,60.91,60.17,ÉXÉM,ê∂óßñÿ,,,,,,,50.5,4.98,-2.07,1.51,85,139.1354398,35.72900725,-29840.862,-63133.414,139.6257377,35.2563317,-30195.9,-62842.63,3.1,-
,-1,39.7,40,15.7,1.9,0.9293,0.9396,448.65,453.64,ÉXÉM,ê∂óßñÿ,,,,,,,124.7,-14.5,10.86,-4.21,89,139.1352454,35.72914616,-29825.326,-63150.89,139.6257378,35.2563318,-30180.364,-62860.106,5.4,-
,-1,31.9,32,15.3,4.5,0.5942,0.595,286.91,287.26,ÉXÉM,ê∂óßñÿ,,,,,,,100.2,0.71,-22.1,2.3,71,139.1353636,35.72883346,-29860.094,-63140.447,139.6257379,35.2563319,-30215.132,-62849.663,4.7,-
,-1,39.8,40,22.3,1.9,1.2766,1.2863,616.32,621,ÉXÉM,ê∂óßñÿ,,,,,,,125,-14.27,4.6,-7.21,91,139.1352387,35.72908992,-29831.561,-63151.541,139.625738,35.256332,-30186.599,-62860.757,5.4,-
,-1,40.5,40,22.4,2.5,1.3243,1.2914,639.37,623.49,ÉXÉM,ê∂óßñÿ,,,,,,,127.2,-23.12,7.5,-10,92,139.1351461,35.72912649,-29827.444,-63159.896,139.6257381,35.2563321,-30182.482,-62869.112,5.5,-
,-1,20.1,20,21.2,2,0.3398,0.3342,164.07,161.35,ÉXÉM,ê∂óßñÿ,,,,,,,63.1,-16.14,8.12,-6.59,90,139.1352234,35.72912364,-29827.81,-63152.899,139.6257382,35.2563322,-30182.848,-62862.115,3.6,-
,-1,41.8,42,17.8,2.5,1.0415,1.0489,502.83,506.39,ÉXÉM,ê∂óßñÿ,,,,,,,131.3,-2.11,12.03,2.99,21,139.1353829,35.72914174,-29825.905,-63138.457,139.6257383,35.2563323,-30180.942,-62847.673,5.6,-
,-1,44.8,44,19.7,0.4,1.2971,1.2601,626.24,608.38,ÉXÉM,ê∂óßñÿ,,,,,,,140.7,-0.14,3.03,-0.51,19,139.1353912,35.72905897,-29835.093,-63137.77,139.6257384,35.2563324,-30190.131,-62846.986,5.8,-
,-1,40.3,40,17.4,1.2,1.0465,1.0302,505.24,497.36,ÉXÉM,ê∂óßñÿ,,,,,,,126.6,-0.35,5.81,0.44,17,139.135393,35.72908405,-29832.312,-63137.59,139.6257385,35.2563325,-30187.349,-62846.805,5.4,-
